Notes - Figure 1 and 2 data
Notes - dNch/deta results have negligable statistical uncertainties
Notes - systematic uncertainties are type B correlated by the PHENIX convention (see text for details)
Notes - event selection percentiles are based on the BBC charge (not multiplicity in the range measured for dNch/deta) -- (see text for details)
 
=========================================
3He+Au at 200 GeV Results
=========================================
Centrality = 0 - 5 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 29.842 , 3.58104
-2.75 , 28.4983 , 3.4198
-2.65 , 29.2601 , 3.51122
-2.55 , 28.7523 , 3.45028
-2.45 , 29.9327 , 3.59193
-2.35 , 28.6431 , 3.43717
-2.25 , 29.2105 , 3.50526
-2.15 , 28.2475 , 3.3897
-2.05 , 28.062 , 3.36744
-1.95 , 29.1562 , 3.49874
-1.85 , 29.8115 , 3.57737
-1.75 , 29.3974 , 3.52769
-1.65 , 29.9661 , 3.59594
-0.25 , 22.5588 , 2.48147
-0.15 , 22.8473 , 2.5132
-0.05 , 24.0649 , 2.64714
0.05 , 23.0967 , 2.54064
0.15 , 19.8921 , 2.18813
0.25 , 20.926 , 2.30186
1.65 , 18.8273 , 2.05594
1.75 , 18.7299 , 2.04531
1.85 , 18.8201 , 2.05515
1.95 , 17.9416 , 1.95923
2.05 , 17.9259 , 1.9575
2.15 , 17.2909 , 1.88816
2.25 , 16.733 , 1.82724
2.35 , 16.0678 , 1.7546
2.45 , 14.8661 , 1.62338
2.55 , 13.6481 , 1.49037
2.65 , 11.9417 , 1.30404
2.75 , 11.8305 , 1.29189
2.85 , 10.4399 , 1.14004
Centrality = 5 - 10 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 25.5054 , 3.06065
-2.75 , 25.5197 , 3.06236
-2.65 , 25.0387 , 3.00464
-2.55 , 24.9493 , 2.99392
-2.45 , 24.8512 , 2.98215
-2.35 , 23.9993 , 2.87992
-2.25 , 24.6077 , 2.95293
-2.15 , 24.3739 , 2.92487
-2.05 , 25.7987 , 3.09585
-1.95 , 26.2309 , 3.14771
-1.85 , 26.5632 , 3.18759
-1.75 , 27.6372 , 3.31647
-1.65 , 25.8956 , 3.10747
-0.25 , 21.1867 , 2.33053
-0.15 , 20.5762 , 2.26338
-0.05 , 21.6141 , 2.37755
0.05 , 22.5438 , 2.47981
0.15 , 17.075 , 1.87825
0.25 , 17.3101 , 1.90411
1.65 , 16.0528 , 1.83002
1.75 , 17.0985 , 1.94923
1.85 , 17.7059 , 2.01847
1.95 , 17.3338 , 1.97606
2.05 , 16.3143 , 1.85983
2.15 , 15.9249 , 1.81544
2.25 , 15.7502 , 1.79552
2.35 , 14.5098 , 1.65412
2.45 , 13.9566 , 1.59106
2.55 , 12.8586 , 1.46588
2.65 , 12.3286 , 1.40546
2.75 , 10.691 , 1.21877
2.85 , 10.1046 , 1.15193
Centrality = 10 - 20 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 23.7256 , 2.84707
-2.75 , 22.9561 , 2.75473
-2.65 , 22.0779 , 2.64935
-2.55 , 21.9454 , 2.63345
-2.45 , 23.2891 , 2.79469
-2.35 , 22.2717 , 2.67261
-2.25 , 22.0267 , 2.64321
-2.15 , 22.7406 , 2.72887
-2.05 , 22.9621 , 2.75545
-1.95 , 23.3096 , 2.79715
-1.85 , 24.2623 , 2.91148
